"['Los Angeles, California']",[]
[],['City']
[],['City of Los Angeles']
[],"['Clockwise from top: Downtown seen from Echo Park, Griffith Observatory, the Theme Building at Los Angeles International Airport, Venice Beach, Vincent Thomas Bridge, City Hall and the Hollywood Sign']"
[],['FlagSeal']
[],"['Nickname(s):\xa0L.A., City of Angels,[1] The Entertainment Capital of the World, The Big Orange,[1] La-la-land, Tinseltown[1]']"
[],['Location within Los Angeles County']
[],['Los AngelesLocation within CaliforniaShow map of CaliforniaLos AngelesLocation within the United StatesShow map of the United StatesLos AngelesLocation within North AmericaShow map of North AmericaLos AngelesLocation on EarthShow map of Earth']
[],['Coordinates: 34°03′N 118°15′W\ufeff / \ufeff34.050°N 118.250°W\ufeff / 34.050; -118.250Coordinates: 34°03′N 118°15′W\ufeff / \ufeff34.050°N 118.250°W\ufeff / 34.050; -118.250']
['Country'],['United States']
['State'],['California']
['County'],['Los Angeles']
['CSA'],['Los Angeles-Long Beach']
['MSA'],['Los Angeles-Long Beach-Anaheim']
['Pueblo'],"['September 4, 1781[2]']"
['City status'],"['May 23, 1835[3]']"
['Incorporated'],"['April 4, 1850[4]']"
['Named for'],"['Our Lady, Queen of the Angels']"
['Government'],[]
['•\xa0Type'],['Mayor-Council-Commission[5]']
['•\xa0Body'],['Los Angeles City Council']
['•\xa0Mayor'],['Eric Garcetti (D)[6]']
['•\xa0City Attorney'],['Mike Feuer (D)[6]']
['•\xa0City Controller'],['Ron Galperin (D)[6]']
['Area[7]'],[]
['•\xa0Total'],"['502.76\xa0sq\xa0mi (1,302.15\xa0km2)']"
['•\xa0Land'],"['468.74\xa0sq\xa0mi (1,214.03\xa0km2)']"
['•\xa0Water'],['34.02\xa0sq\xa0mi (88.12\xa0km2) \xa06.7%']
['Elevation[8]'],['305\xa0ft (93\xa0m)']
['Highest\xa0elevation[9]'],"['5,074\xa0ft (1,547\xa0m)']"
['Lowest\xa0elevation[9]'],['0\xa0ft (0\xa0m)']
['Population\xa0(2010)[10]'],[]
['•\xa0Total'],"['3,792,621']"
['•\xa0Estimate\xa0(2017)[11]'],"['3,999,759']"
['•\xa0Rank'],"['1st, California2nd, U.S.']"
['•\xa0Density'],"['8,483.02/sq\xa0mi (3,275.32/km2)']"
['•\xa0Urban[12]'],"['12,150,996']"
['•\xa0Metro[13]'],"['13,131,431 (U.S.: 2nd)']"
['•\xa0CSA[14]'],"['18,679,763 (U.S.: 2nd)']"
['Demonym(s)'],['Angeleno']
['Time zone'],['UTC−08:00 (Pacific)']
['•\xa0Summer (DST)'],['UTC−07:00 (PDT)']
['ZIP Codes'],"['List\n90001–90084, 90086–90089, 90091, 90093–90097, 90099, 90101–90103, 90174, 90185, 90189, 90291–90293, 91040–91043, 91303–91308, 91311, 91316, 91324–91328, 91330,91331, 91335, 913340,  91342–91349, 91352–91353, 91356–91357, 91364–91367, 91401–91499, 91504–91505, 91601–91609[15]']"
['Area codes'],"['213/323, 310/424, 747/818']"
['FIPS code'],['06-44000']
['GNIS feature IDs'],"['1662328, 2410877']"
['Website'],['Official website']
